Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Planescape: Torment and Icewind Dale: Enhanced Editions,-41%,[],$49.99,$29.50,[]
Super Mario Odyssey,-25%,[],$59.99,$44.99,[]
RIVE: Ultimate Edition,-87%,[],$14.99,$1.99,Sale ends November 5
Rogue Bit,-50%,[],$4.99,$2.49,Sale ends November 2
Pokémon Shield,-33%,Lowest price ever,$59.99,$39.99,[]
The Raven Remastered,-50%,[],$29.99,$14.99,Sale ends November 5
Harvest Moon: Light of Hope Special Edition,-25%,[],$39.99,$30.01,[]
BDSM: Big Drunk Satanic Massacre,-20%,[],$19.99,$15.99,Sale ends November 1
Rooms: The Adventure of Anne & George,-61%,Lowest price ever,$14.99,$5.90,Sale ends November 1
Mario + Rabbids Kingdom Battle Donkey Kong Adventure,-50%,Matches previous low,$14.99,$7.49,Sale ends November 1
In Other Waters,-25%,Matches previous low,$14.99,$11.24,Sale ends November 2
Octopath Traveler,-17%,[],$59.99,$49.94,[]
1-2-Switch,-28%,[],$49.99,$35.88,[]
Witcheye,-50%,Lowest price ever,$4.99,$2.49,Sale ends November 2
LEGO Harry Potter Collection,-75%,Matches previous low,$49.99,$12.49,Sale ends November 2
LEGO NINJAGO Movie Video Game,-75%,Matches previous low,$49.99,$12.49,Sale ends November 2
Decay of Logos,-50%,Matches previous low,$19.99,$9.99,Sale ends November 1
Yono and the Celestial Elephants,-25%,[],$19.99,$14.99,[]
Glass Masquerade 2: Illusions,-50%,Matches previous low,$11.99,$5.99,Sale ends November 4
The Legend of Dark Witch,-20%,Matches previous low,$6.99,$5.59,Sale ends in 23 hours
Outbuddies DX,-55%,Lowest price ever,$17.99,$8.09,Sale ends November 2
Piczle Colors,-70%,Matches previous low,$12.00,$3.60,Sale ends November 1
Yoshi’s Crafted World,-33%,[],$59.99,$39.99,[]
Tamashii,-50%,[],$11.99,$5.99,Sale ends November 4
The Walking Vegetables: Radical Edition,-85%,Matches previous low,$12.99,$1.94,Sale ends November 8
Rain City,-41%,Lowest price ever,$7.58,$4.45,Sale ends November 1
AngerForce: Reloaded,-30%,[],$9.99,$6.99,Sale ends in 23 hours
AO Tennis 2,-83%,Lowest price ever,$59.99,$9.99,[]
What Remains of Edith Finch,-50%,[],$19.99,$9.99,Sale ends in 23 hours
Dead End Job,-55%,Matches previous low,$16.99,$7.64,Sale ends November 2
Pro Controller,-16%,[],$69.99,$59.00,[]
Hexagroove: Tactical DJ,-25%,[],$29.99,$22.49,Sale ends November 5
Aery - Little Bird Adventure,-43%,Lowest price ever,$6.99,$3.98,Sale ends November 11
Omega Strike,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 4
Borderlands Legendary Collection,-40%,Lowest price ever,$49.99,$29.83,[]
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,-28%,[],$39.99,$28.80,[]
JUMANJI: The Video Game,-15%,[],$39.99,$33.88,[]
SNK 40th ANNIVERSARY COLLECTION,-38%,[],$39.99,$24.97,[]
TRANSFORMERS: BATTLEGROUNDS,-15%,Lowest price ever,$39.99,$33.88,[]
Flipping Death,-80%,Matches previous low,$19.99,$3.99,Sale ends November 1
Trials of Mana,-30%,[],$49.99,$34.88,[]
SNK HEROINES Tag Team Frenzy,-52%,[],$49.99,$24.00,[]
ANIMUS: Harbinger,-50%,Matches previous low,$7.99,$3.99,Sale ends November 9
Clue: The Classic Mystery Game,-50%,Matches previous low,$29.99,$14.99,Sale ends in 47 hours
Stick It to The Man,-80%,Matches previous low,$11.99,$2.39,Sale ends November 1
Bot Vice,-70%,Matches previous low,$9.99,$2.99,"Sale is already over, but Deku Deals hasn't updated the price yet. Sorry!"
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,-50%,[],$39.99,$19.99,[]
Outlast: Bundle of Terror,-75%,Matches previous low,$24.99,$6.24,Sale ends November 7
PowerA Joy-Con Charging Dock,-34%,[],$29.99,$19.88,[]
Mega Man Legacy Collection 2,-50%,Matches previous low,$19.99,$9.99,Sale ends in 38 hours
Langrisser I & II,-26%,[],$49.99,$36.97,[]
Slay the Spire,-20%,[],$24.99,$19.99,[]
Garfield Kart Furious Racing,-18%,[],$29.99,$24.49,[]
State of Mind,-90%,Lowest price ever,$39.99,$3.99,Sale ends November 11
Party Crashers,-87%,[],$15.00,$1.99,Sale ends November 12
Super One More Jump,-86%,[],$7.00,$0.98,Sale ends November 1
