Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Party Golf,-87%,[],$15.00,$1.99,Sale ends November 12
Merchant of the Skies,-34%,Lowest price ever,$14.99,$9.89,Sale ends in 23 hours
Blacksad: Under the Skin,-60%,[],$49.99,$19.99,[]
The Jackbox Party Pack 3,-35%,[],$24.99,$16.24,Sale ends November 2
Tower of Babel - no mercy,-80%,Lowest price ever,$9.99,$1.99,Sale ends in 8 hours
LEGO Marvel Super Heroes 2 Deluxe Edition,-70%,Matches previous low,$44.99,$13.49,Sale ends November 2
1-2-Switch,-28%,[],$49.99,$35.88,[]
Stick It to The Man,-80%,Matches previous low,$11.99,$2.39,Sale ends November 1
Wide Ocean Big Jacket,-60%,Matches previous low,$7.99,$3.19,Sale ends November 1
Call of Juarez: Gunslinger,-40%,[],$19.99,$11.99,Sale ends November 3
Uncanny Valley,-75%,Matches previous low,$9.99,$2.49,Sale ends November 4
Zombieland: Double Tap - Road Trip,-75%,Matches previous low,$39.99,$9.99,Sale ends November 17
Mega Man Zero/ZX Legacy Collection,-25%,[],$29.99,$22.49,Sale ends in 38 hours
Cars 3: Driven to Win,-75%,Matches previous low,$39.99,$9.99,Sale ends November 2
Röki,-20%,Lowest price ever,$19.99,$15.99,Sale ends November 1
MY HERO ONE'S JUSTICE,-52%,[],$59.99,$28.99,[]
Metro Redux,-40%,[],$49.99,$29.99,[]
Double Dragon 4,-50%,Lowest price ever,$6.99,$3.50,Sale ends November 3
88 Heroes - 98 Heroes Edition,-80%,Matches previous low,$29.95,$5.99,Sale ends November 1
DRAGON BALL Xenoverse 2,-46%,[],$49.99,$27.00,[]
Monster Loves You,-80%,Lowest price ever,$9.99,$1.99,Sale ends November 5
"Pokémon: Let’s Go, Eevee!",-17%,[],$59.99,$49.94,[]
Battle Chasers: Nightwar,-27%,[],$39.99,$29.00,[]
LEGO Star Wars: The Skywalker Saga,-17%,Matches previous low,$59.99,$49.94,[]
Pato Box,-70%,Matches previous low,$14.99,$4.49,Sale ends November 3
UNO,-60%,[],$9.99,$3.99,Sale ends November 1
Nickelodeon Kart Racers,-75%,Matches previous low,$29.99,$7.49,Sale ends November 17
Edna & Harvey: The Breakout – Anniversary Edition,-65%,Lowest price ever,$19.99,$6.99,Sale ends November 11
Gunman Clive HD Collection,-50%,Matches previous low,$3.99,$1.99,Sale ends November 5
Mega Man Legacy Collection,-33%,[],$14.99,$10.04,Sale ends in 38 hours
Bleed 2,-75%,Matches previous low,$14.99,$3.74,Sale ends November 4
Willy Jetman: Astromonkey's Revenge,-54%,Lowest price ever,$14.99,$6.89,Sale ends November 1
Little Dragons Café,-41%,[],$59.99,$35.65,[]
Evergate,-20%,Lowest price ever,$19.99,$15.99,Sale ends in 38 hours
Rock of Ages 3: Make & Break,-38%,Lowest price ever,$29.99,$18.60,[]
Starlink: Battle for Atlas Collection 1 Pack,-75%,Matches previous low,$59.99,$14.99,Sale ends November 1
Riverbond,-70%,Matches previous low,$24.99,$7.49,Sale ends November 2
Immortals Fenyx Rising,-17%,Matches previous low,$59.99,$49.94,[]
Ginger: Beyond the Crystal,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 1
The Church in the Darkness,-75%,Matches previous low,$19.99,$4.99,Sale ends November 2
Rad Rodgers Radical Edition,-75%,Matches previous low,$29.99,$7.49,Sale ends in 23 hours
Piczle Lines DX,-70%,Matches previous low,$14.99,$4.49,Sale ends November 1
Trüberbrook,-55%,[],$29.99,$13.49,Sale ends November 2
The Aquatic Adventure of the Last Human,-70%,Matches previous low,$12.99,$3.89,Sale ends November 4
Curious Expedition,-33%,Lowest price ever,$14.99,$10.04,Sale ends November 1
Overwatch: Legendary Edition,-25%,[],$39.99,$29.97,[]
Titan Quest,-36%,[],$39.99,$25.61,[]
Demon's Crystals,-67%,Lowest price ever,$14.99,$4.94,Sale ends November 1
Urban Flow Extended Edition,-60%,Lowest price ever,$16.99,$6.79,Sale ends November 13
OTTTD: Over The Top Tower Defense,-88%,[],$7.99,$0.99,Sale ends November 1
Burnout Paradise Remastered,-14%,[],$49.99,$42.88,[]
