Adventure Time: Pirates of the Enchiridion,"['Adventure, Role-Playing, Action, Fighting']",['Outright Games'],['2.722 GB'],"['NA', 'July 17, 2018EU', 'July 20, 2018']",50,5.5,"['Spanish, English, French, German, Italian']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$18.90', '-53%']}"
Captain Toad: Treasure Tracker,"['Platformer, Puzzle']",['Nintendo'],['1.65 GB'],"['July 13, 2018']",82,7.9,"['Japanese, English, Spanish, French, German, Italian, Dutch']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$32.84', '-18%']}"
Ghostbusters: The Video Game Remastered,"['Action, Adventure']",['Saber Interactive Incorporated'],['3.341 GB'],"['NA/EU', 'October  4, 2019JP', 'December 12, 2019']",73,6.7,"['English, Spanish, French, German, Italian, Dutch']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$7.49', '-75%']}"
Postal REDUX,['Action'],['MD GAMES'],['1.402 GB'],"['October 16, 2020']",tbd,tbd,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$8.99', '-10%']}"
Three Fourths Home: Extended Edition,['Adventure'],['Digerati'],['549 MB'],"['May 10, 2018']",59,7.0,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.24', '-75%']}"
Joy-Con Charging Grip,[],[],[],"['March  3, 2017']",[],[],[],[],"{'Amazon.com': ['Physical', '$24.88', '-17%'], 'Walmart': ['Physical', '$24.88', '-17%']}"
Stikbold! A Dodgeball Adventure DELUXE,"['Party, Sports, Action, Arcade']",['Reign Bros'],['1.018 GB'],"['NA/EU', 'January  4, 2018JP', 'June  7, 2018']",70,7.4,"['Japanese, English, Spanish, French, German, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.09', '-86%']}"
JUMP FORCE - Deluxe Edition,"['Action, Fighting']",['BANDAI NAMCO Entertainment'],['10.606 GB'],"['August 28, 2020']",51,7.3,"['English, French, Spanish, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$35.98', '-28%'], 'Walmart': ['Physical', '$35.98', '-28%']}"
Valiant Hearts: The Great War,"['Adventure, Platformer, Education']",['Ubisoft'],['1.352 GB'],"['November  8, 2018']",77,8.1,"['Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.99', '-75%']}"
The Mooseman,"['Adventure, Platformer, Puzzle, Education']",['Sometimes You'],['561 MB'],"['July 18, 2018']",70,tbd,"['English, French, German, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$3.49', '-50%']}"
Glass Masquerade,['Puzzle'],['Digerati'],['503 MB'],"['February  8, 2019']",tbd,tbd,"['Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.99', '-75%']}"
Perception,"['Adventure, Action']",['The Deep End Games'],['7.156 GB'],"['October 31, 2017']",62,6.0,"['German, English, Spanish, French, Italian, Japanese, Portuguese, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.99', '-90%']}"
"Invisible, Inc. Nintendo Switch Edition",['Strategy'],['Klei Entertainment'],['628 MB'],"['June 15, 2020']",tbd,8.0,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$14.99', '-25%']}"
Double Dragon & Kunio-kun: Retro Brawler Bundle,"['Action, Sports, Fighting, Multiplayer']",['Arc System Works'],['343 MB'],"['February 20, 2020']",78,8.0,"['Japanese, English, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$20.00', '-50%']}"
Cat Quest,"['Adventure, Action, Role-Playing']",['PQube'],['387 MB'],"['November 10, 2017']",74,7.7,"['Japanese, English, Spanish, French, German, Italian, Russian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.99', '-85%']}"
Neo ATLAS 1469,['Simulation'],['Studio Artdink'],['1.744 GB'],"['April 19, 2018']",tbd,tbd,"['Japanese, English']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$29.60', '-41%']}"
Oniken: Unstoppable Edition & Odallus: The Dark Call Bundle,"['Platformer, Arcade, Action, Adventure']",['Digerati'],['116 MB'],"['December 25, 2019']",[],[],"['Japanese, English, Spanish, French, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.99', '-75%']}"
OVERPASS,"['Racing, Simulation, Sports, Multiplayer']",['Nacon'],['6.567 GB'],"['March 17, 2020']",54,tbd,"['English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$39.99', '-27%'], 'GameStop': ['Physical', '$39.99', '-27%']}"
The Wonderful 101: Remastered,"['Adventure, Action']",['PlatinumGames'],['7.696 GB'],"['NA', 'May 19, 2020EU', 'May 22, 2020JP', 'June 11, 2020']",72,6.5,"['Japanese, English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$29.83', '-25%'], 'Walmart': ['Physical', '$29.83', '-25%'], 'Target': ['Physical', '$29.99', '-25%']}"
Darksiders Genesis,"['Action, Adventure']",['THQ Nordic'],['10.019 GB'],"['February 14, 2020']",74,7.5,"['Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$23.93', '-40%'], 'Walmart': ['Physical', '$23.93', '-40%']}"
Bloodroots,"['Action, Arcade, Platformer, Adventure, Indie']",['Paper Cult'],['2.771 GB'],"['February 28, 2020']",75,7.9,"['Japanese, English, Spanish, French, Portuguese, German, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.99', '-90%']}"
Daggerhood,"['Action, Platformer, Arcade, Adventure']",['Ratalaika Games'],['166 MB'],"['February 22, 2019']",tbd,tbd,"['Japanese, English, Spanish, French, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.99', '-40%']}"
Super Bomberman R,"['Action, Party, Puzzle, Multiplayer']",['Konami'],['3.839 GB'],"['March  3, 2017']",62,6.8,"['Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$14.99', '-63%']}"
War Tech Fighters,"['Adventure, Action']",['Blowfish Studios'],['7.853 GB'],"['June 27, 2019']",76,7.4,"['English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$8.99', '-55%']}"
Tangle Tower,"['Adventure, Puzzle']",['SFB Games'],['636 MB'],"['October 22, 2019']",85,7.9,"['Japanese, English, French, Portuguese, Spanish, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$13.99', '-30%']}"
Pumpkin Jack,"['Adventure, Action']",['Headup Games'],['2.865 GB'],"['October 23, 2020']",78,8.6,"['English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$23.99', '-20%']}"
Ape Out,"['Action, Arcade, Fighting, Adventure, Indie']",['Devolver Digital'],['3.121 GB'],"['February 28, 2019']",84,6.3,"['Japanese, English, Spanish, French, German, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$7.49', '-50%']}"
