Name,Discount,Tag,Original_Price,Discount_Price,Deadline
In Other Waters,-25%,Matches previous low,$14.99,$11.24,Sale ends November 2
The Eyes of Ara,-45%,Lowest price ever,$14.99,$8.24,Sale ends November 3
1-2-Switch,-28%,[],$49.99,$35.88,[]
LEGO NINJAGO Movie Video Game,-75%,Matches previous low,$49.99,$12.49,Sale ends November 2
Zenith,-50%,Matches previous low,$14.99,$7.49,Sale ends November 1
Trials of Mana,-30%,[],$49.99,$34.88,[]
Curious Expedition,-33%,Lowest price ever,$14.99,$10.04,Sale ends November 1
Aery - Little Bird Adventure,-43%,Lowest price ever,$6.99,$3.98,Sale ends November 11
DreamWorks Dragons Dawn of New Riders,-51%,[],$39.99,$19.78,[]
South Park : The Fractured but Whole Season Pass,-67%,Lowest price ever,$29.99,$9.79,Sale ends November 1
Azure Reflections,-50%,Matches previous low,$24.99,$12.49,Sale ends November 3
Battle Worlds: Kronos,-17%,[],$29.99,$24.99,[]
My Big Sister,-40%,Matches previous low,$5.99,$3.59,Sale ends November 3
The Walking Vegetables: Radical Edition,-85%,Matches previous low,$12.99,$1.94,Sale ends November 8
Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,-88%,Lowest price ever,$39.99,$4.80,Sale ends November 3
Outbuddies DX,-55%,Lowest price ever,$17.99,$8.09,Sale ends November 2
Super Mario Party,-33%,[],$59.99,$39.99,[]
Mega Man Legacy Collection 2,-50%,Matches previous low,$19.99,$9.99,Sale ends in 38 hours
WWE 2K Battlegrounds,-25%,Lowest price ever,$39.99,$29.99,Sale ends in 14 hours
Archaica: The Path Of Light,-67%,Matches previous low,$14.99,$4.94,Sale ends November 2
Captain Tsubasa: Rise of New Champions,-29%,Lowest price ever,$59.99,$42.49,[]
Lydia,-50%,Matches previous low,$4.00,$2.00,Sale ends November 7
Hunting Simulator,-35%,[],$39.99,$25.92,[]
Stick It to The Man,-80%,Matches previous low,$11.99,$2.39,Sale ends November 1
Overwatch: Legendary Edition,-25%,[],$39.99,$29.97,[]
Death Squared,-80%,[],$14.99,$2.99,Sale ends November 6
Bargain Hunter,-30%,[],$12.49,$8.74,Sale ends November 1
Darksiders Warmastered Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Omega Strike,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 4
Party Crashers,-87%,[],$15.00,$1.99,Sale ends November 12
Trine 4: The Nightmare Prince,-28%,[],$29.99,$21.62,[]
Titan Quest,-36%,[],$39.99,$25.61,[]
Genki Audio - Neon,-20%,Lowest price ever,$49.99,$39.99,[]
Super Bomberman R,-63%,[],$39.99,$14.99,[]
Fate/EXTELLA LINK Fleeting Glory Limited Edition,-38%,[],$79.99,$49.99,[]
